gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1317316903	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3cd83e398-f623-4c4e-9d55-ea21999d82d9		00089534.tif	US National Herbarium specimen, barcode 00089534	Specimen from Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317286455	StillImage	image/jpeg	http://n2t.net/ark:/65665/m395ee48a3-fa17-40e3-95fb-d156ed21c5f1		00897190.tif	Barcode 00897190	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317263714	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3fb57a999-da6f-4d65-be03-1b8e7772cfeb		00897099.tif	Barcode 00897099	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317221774	StillImage	image/jpeg	http://n2t.net/ark:/65665/m30bf0dd33-9199-4f95-81f6-72f58a409d1c		00897093.tif	Barcode 00897093	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1261914079	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=59073	http://www.tropicos.org/ImageFullView.aspx?imageid=59073	Matuda - 1724 - Mexico	isotype 1157995				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1258634405	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=25827	http://www.tropicos.org/ImageFullView.aspx?imageid=25827	Conzatti - 3121 - Mexico	isotype 879040				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1258629883	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=15705	http://www.tropicos.org/ImageFullView.aspx?imageid=15705	Pringle - 4760 - Mexico	holotype 75183				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1258629791	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=27001	http://www.tropicos.org/ImageFullView.aspx?imageid=27001	Smith - 776 - Mexico	holotype 140734				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1258629781	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=15562	http://www.tropicos.org/ImageFullView.aspx?imageid=15562	Pringle - 6029 - Mexico	isotype 3265366				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1257501216	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=59100	http://www.tropicos.org/ImageFullView.aspx?imageid=59100	Cook - 79 - Mexico	isotype 1254181				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1257501213	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=3563	http://www.tropicos.org/ImageFullView.aspx?imageid=3563	Purpus - 6999 - Mexico	isolectotype 741407				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1257501208	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=2912	http://www.tropicos.org/ImageFullView.aspx?imageid=2912	Purpus - 6998 - Mexico	isolectotype 741408				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1257501207	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=16207	http://www.tropicos.org/ImageFullView.aspx?imageid=16207	Purpus - 6997 - Mexico	isotype 741468				MBG			http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
